时间,操作
2020-01-16 06:50:00,关闭A+B直供主管
2020-01-16 07:05:00,启动水蓄能放热主管
2020-01-16 11:10:00,关闭水蓄能放热主管
2020-01-16 11:20:00,启动A+B直供主管
2020-01-16 15:45:00,关闭A+B直供主管
2020-01-16 16:40:00,启动A+B水蓄能
2020-01-16 18:25:00,关闭A+B水蓄能
2020-01-16 22:05:00,启动A+B水蓄能
2020-01-17 01:10:00,关闭A+B水蓄能
2020-01-17 01:30:00,启动A+B直供主管
2020-01-17 06:50:00,关闭A+B直供主管
2020-01-17 07:10:00,启动水蓄能放热主管
2020-01-17 11:15:00,关闭水蓄能放热主管
2020-01-17 11:25:00,启动A+B直供主管
2020-01-17 12:35:00,启动太阳能工作日直供主管
2020-01-17 15:00:00,关闭太阳能工作日直供主管
2020-01-17 16:10:00,关闭A+B直供主管
2020-01-17 22:55:00,启动A+B水蓄能
2020-01-18 03:55:00,关闭A+B水蓄能
2020-01-18 04:15:00,启动A+B直供主管
2020-01-18 06:50:00,关闭A+B直供主管
2020-01-18 14:05:00,启动A+B直供主管
2020-01-18 18:00:00,关闭A+B直供主管
2020-01-18 23:00:00,启动A+B直供主管
2020-01-19 06:50:00,关闭A+B直供主管
2020-01-19 07:05:00,启动水蓄能放热主管
2020-01-19 11:10:00,关闭水蓄能放热主管
2020-01-19 11:20:00,启动A+B直供主管
2020-01-19 16:15:00,关闭A+B直供主管
2020-01-19 16:35:00,启动A+B水蓄能
2020-01-19 18:00:00,关闭A+B水蓄能
2020-01-19 22:50:00,启动A+B水蓄能
2020-01-20 02:45:00,关闭A+B水蓄能
2020-01-20 03:05:00,启动A+B直供主管
2020-01-20 06:50:00,关闭A+B直供主管
2020-01-20 07:05:00,启动水蓄能放热主管
2020-01-20 11:00:00,关闭水蓄能放热主管
2020-01-20 11:05:00,启动A+B直供主管
2020-01-20 16:10:00,关闭A+B直供主管
2020-01-20 16:40:00,启动A+B水蓄能
2020-01-20 18:00:00,关闭A+B水蓄能
2020-01-20 22:55:00,启动A+B水蓄能
2020-01-21 02:45:00,关闭A+B水蓄能
2020-01-21 03:05:00,启动A+B直供主管
2020-01-21 06:50:00,关闭A+B直供主管
2020-01-21 11:40:00,启动A+B直供主管
2020-01-21 17:50:00,关闭A+B直供主管
2020-01-21 23:00:00,启动A+B直供主管
2020-01-22 06:50:00,关闭A+B直供主管
2020-01-22 07:10:00,启动水蓄能放热主管
2020-01-22 10:50:00,关闭水蓄能放热主管
2020-01-22 11:00:00,启动A+B直供主管
2020-01-22 14:05:00,关闭A+B直供主管
2020-01-22 14:55:00,启动A+B水蓄能
2020-01-22 18:20:00,关闭A+B水蓄能
2020-01-22 23:00:00,启动A+B水蓄能
2020-01-23 00:20:00,关闭A+B水蓄能
2020-01-23 00:40:00,启动A+B直供主管
2020-01-23 06:50:00,关闭A+B直供主管
2020-01-23 07:50:00,启动水蓄能放热主管
2020-01-23 14:05:00,关闭水蓄能放热主管
2020-01-23 17:55:00,启动A直供主管
2020-02-02 22:05:00,关闭A直供主管
2020-02-02 23:10:00,启动A+B水蓄能
2020-02-03 05:40:00,关闭A+B水蓄能
2020-02-03 06:00:00,启动A+B直供主管
2020-02-03 06:45:00,关闭A+B直供主管
2020-02-03 10:55:00,启动A+B直供主管
2020-02-03 18:00:00,关闭A+B直供主管
2020-02-03 22:55:00,启动A+B直供主管
2020-02-04 00:00:00,关闭A+B直供主管
2020-02-04 10:30:00,启动A+B直供主管
2020-02-04 14:20:00,关闭A+B直供主管
2020-02-04 14:35:00,启动A直供主管
2020-02-19 22:00:00,关闭A直供主管
2020-02-19 23:10:00,启动A+B直供主管
2020-02-20 13:15:00,关闭A+B直供主管
2020-02-20 13:35:00,启动A直供主管
